Aeshna.canadensis,Aeshna.constricta,Aeshna.eremita,Aeshna.interrupta,Aeshna.tuberculifera,Aeshna.umbrosa,Amphiagrion.saucium,Anax.junius,Argia.fumipennis,Argia.moesta,Arigomphus.furcifer,Basiaeschna.janata,Boyeria.grafiana,Boyeria.vinosa,Calopteryx.aequabilis,Calopteryx.amata,Calopteryx.maculata,Celithemis.elisa,Celithemis.eponina,Chromagrion.conditum,Coenagrion.resolutum,Cordulegaster.diastatops,Cordulegaster.maculata,Cordulia.shurtleffii,Didymops.transversa,Dorocordulia.libera,Dromogomphus.spinosus,Enallagma.annexum,Enallagma.aspersum,Enallagma.boreale,Enallagma.carunculatum,Enallagma.civile,Enallagma.ebrium,Enallagma.exsulans,Enallagma.geminatum,Enallagma.hageni,Enallagma.signatum,Enallagma.vernale,Enallagma.vesperum,Epitheca.canis,Epitheca.cynosura,Epitheca.princeps,Epitheca.spinigera,Erythemis.simplicicollis,Gomphus.adelphus,Gomphus.borealis,Gomphus.descriptus,Gomphus.exilis,Gomphus.quadricolor,Gomphus.spicatus,Hagenius.brevistylus,Helocordulia.uhleri,Ischnura.posita,Ischnura.verticalis,Ladona.julia,Lanthus.parvulus,Lestes.congener,Lestes.disjunctus,Lestes.dryas,Lestes.eurinus,Lestes.forcipatus,Lestes.inaequalis,Lestes.rectangularis,Lestes.unguiculatus,Lestes.vigilax,Leucorrhinia.frigida,Leucorrhinia.glacialis,Leucorrhinia.hudsonica,Leucorrhinia.intacta,Leucorrhinia.proxima,Libellula.incesta,Libellula.luctuosa,Libellula.pulchella,Libellula.quadrimaculata,Macromia.illinoiensis,Nehalennia.irene,Ophiogomphus.aspersus,Ophiogomphus.carolus,Ophiogomphus.mainensis,Pachydiplax.longipennis,Pantala.flavescens,Perithemis.tenera,Plathemis.lydia,Somatochlora.elongata,Somatochlora.walshii,Somatochlora.williamsoni,Stylogomphus.albistylus,Stylurus.scudderi,Stylurus.spiniceps,Sympetrum.costiferum,Sympetrum.internum,Sympetrum.obtrusum,Sympetrum.semicinctum,Sympetrum.vicinum,Tramea.lacerata
Arigomphus.furcifer,0,-0.725924937533149,0,-0.472969658288268,-0.483982869832373,-0.742634312099721,0.843955552491455,0.787302007586609,0,0,1,0,-0.930726361537331,-0.798883318515359,0,0,0,0.717920819302477,0,0.964592004880367,0.967454326804545,0.731805785743292,0,0.966536460395809,0.787167519166802,0.970056744594138,0,0.848730461144073,0,0.938862574808147,0,0,0.940796649825797,0,0,0.781605067799625,0,0.758816765438934,0,0.933471419227079,0.943741872919704,0.92765977876539,0.936914974792503,0.803255673230324,0,0.835141569077529,0,0.684731399218385,0.586472228732802,0.705859942798154,0,0,0.730623337272109,0.799438787779768,0.975826431330479,-0.630164439051218,0,0,0,0.813538968837899,0,0.840427363320051,0,0,0,0.919979132280453,0.884543454471682,0.956613044619572,0.944600704219118,0.968145886661652,0.562224958978715,0.873120363774173,0.912056539064864,0.974726275227443,0,0.937277528773582,0,0,0,0,-0.597946750747367,0,0.94778888481353,0,0,0.741512577827845,0,-0.80424388009293,-0.715564743354107,0,0,0,-0.472144962465937,0,0
Basiaeschna.janata,-0.899705148398085,-0.868415289391088,-0.732727199423669,-0.960892083262572,-0.95219544298328,-0.853231846527451,0.620193438397014,0,0,0.514895288107174,0,1,0,0,0.84492094214333,0.897921980177579,0.710808951344623,0,-0.809653339080613,0.465286146443548,0.378278632251238,0.857779873746469,0.785205762311318,0,0.79808348417613,0.330905122758271,0.729791244642411,0,-0.702014517697259,0.46469382517451,0,-0.85910195935994,0,0,-0.587843277452833,0,0,0.781578428332435,0,0.600727283966935,0.558243344791149,0,0.54400066375138,0,0.902631604320382,0.786729697001512,0.912738723072428,0.869635368133513,0.889130737589319,0.88610759173854,0.82027709869362,0.878812765489473,0,0,0.426315841416563,0,-0.971376949195352,-0.913770420365233,0,0,-0.951554755168283,0,-0.910246163278177,0,-0.856456538434954,0,0,0.529505010757612,0,0.451850145752457,0,0,0,0.341851394355936,0.844396241710952,0,0.794983148038283,0.742346575580327,0.721203387423077,-0.698024460223849,-0.8980327041972,0,0,0,0,0,0.83470382309994,0,0,-0.865561731095253,-0.943134384301189,-0.921160667113935,-0.961498195355593,-0.949958335846559,0
Boyeria.grafiana,0,0.546524946990142,-0.467107967495374,0,0,0.568017226098476,-0.741489199978385,-0.90305445296847,0,0,-0.930726361537331,0,1,0.905422870567632,0,0,0,-0.845096223681384,0,-0.91529744403218,-0.938799187667492,-0.554898548996614,0.431285478149882,-0.944474389764182,-0.630351345696237,-0.957334310713938,0,-0.887213623146866,0,-0.883677363748983,0,0,-0.975988851143093,0,-0.611071428651879,-0.843291243944679,-0.735404219364832,-0.605867330693401,0,-0.841344795386007,-0.86516173725004,-0.962250609369159,-0.860633110134594,-0.915758264479235,0,-0.683413624296847,0,-0.501365830933434,0,-0.51723135064649,0,0,-0.871911510649995,-0.9160832443436,-0.937206600075675,0.793173843212182,0,0,0,-0.911582222115829,0,-0.930733760108674,0,0,0,-0.971465506940486,-0.94028240560292,-0.885909039620902,-0.977992539562556,-0.920461988375497,-0.739101669520246,-0.95495438514893,-0.972642164007513,-0.959439353439464,0,-0.977509464620284,0,0.455251137532798,0.501706412910047,-0.537369230769872,0,0,-0.952674829048789,0,0,-0.827390658106363,0,0.893246826833151,0.838203110909934,0,0,0,0,0,0
Boyeria.vinosa,-0.446841993334403,0,-0.669478670543916,0,0,0,0,-0.948702351814658,0,0,-0.798883318515359,0,0.905422870567632,1,0,0.480111546790375,0,-0.897823235977702,0,-0.756134574296922,-0.81027480653604,0,0.651888019534529,-0.81855806640871,0,-0.840711515902414,0,-0.84091325920814,-0.644952763736379,-0.732443098550596,0,0,-0.911776830735125,0,-0.773250267197037,-0.77415135536334,-0.804536978340285,0,0,-0.651306703970937,-0.683153727444653,-0.892367079192258,-0.685661087718805,-0.936473187855923,0.458650145421389,0,0.433749853500169,0,0,0,0,0.508387558650027,-0.927263527561455,-0.938790580819691,-0.792517810450727,0.889827468690013,0,-0.430463035464689,0,-0.926218888812976,0,-0.929510110704981,-0.449855567597859,0,0,-0.926517005547678,-0.91079556660614,-0.712507245051185,-0.909125367295796,-0.767065893309123,-0.859109459150943,-0.935376679693259,-0.932549576896169,-0.838540995183794,0.536477302488435,-0.915303965568899,0.600442972206388,0.664278146940965,0.701336673891747,-0.732118844292098,0,0,-0.836775340009506,0,0,-0.833016510129251,0.540393793752451,0.891745582744987,0.888962007414554,0,0,0,0,0,-0.713890302151695
Calopteryx.aequabilis,-0.804495378844841,-0.676125020102882,-0.736380370978676,-0.805487800880364,-0.808613523829773,-0.669317802370965,0,-0.382458068577925,0,0.833522863134169,0,0.84492094214333,0,0,1,0.864060226525203,0.926731618636563,0,-0.774543108320809,0.258578622761335,0,0.657066424728261,0.784798860537505,0,0.603240098776051,0,0.758479174482814,0,-0.708896064647122,0,0,-0.757214086468346,0,0.829064745242698,-0.635539331999295,0,0,0.556517013350205,0,0.365724363654624,0.335707762644873,0,0,0,0.844278057688852,0.57461572115944,0.84813411517907,0.705524867395774,0.734952916223248,0.69708926352599,0.798220449499425,0.831547373718985,-0.394751034577588,-0.297505429565002,0,0.4933052088754,-0.853991593598503,-0.826280068152915,0,0,-0.848336828802063,0,-0.839055297016511,0,-0.782333708945624,0,0,0.309725825702678,0,0,-0.536521636021273,0,0,0,0.836573787543157,0,0.778359670584281,0.751888297606821,0.732898076753846,-0.72604813395164,-0.725790387857447,-0.693400038072387,0,0,0,0,0.827987711584475,0,0,-0.704472672987675,-0.825493526308479,-0.834461397830454,-0.797155726748236,-0.848986438888422,-0.677429137004978
Calopteryx.amata,-0.968072772156871,-0.645446958678897,-0.911542824336115,-0.854816099069739,-0.837826753837452,-0.624170874931834,0,-0.533876951057417,0,0.563086559513981,0,0.897921980177579,0,0.480111546790375,0.864060226525203,1,0.674911347675116,-0.56033407067818,-0.832337884305302,0,0,0.631970010894257,0.950950786926821,0,0.54420314101585,0,0.83941617116073,0,-0.873494424567218,0,0,-0.842311037842676,0,0.632641739710887,-0.824662089854388,-0.301236012565432,0,0,0,0,0,0,0,-0.506023609547756,0.977025926984989,0.512158731026469,0.975736734114621,0.667791895695807,0.727277971854485,0.676236341219715,0.912440175286031,0.974528684893797,-0.611791172872126,-0.52743341285238,0,0.698433026148513,-0.9155778615047,-0.972666317239708,0,-0.454562805349108,-0.939823054510152,-0.428388996236343,-0.977790106626144,0,-0.94256691951937,-0.290464239495435,0,0,0,0,-0.739845260615152,-0.396519635236389,-0.31918573364739,0,0.954533746701391,0,0.936707358214261,0.918791484270204,0.912390136030253,-0.904035027251963,-0.72695899945893,-0.807215881476616,0,0,0,0,0.951110702100923,0,0.534605825240218,-0.751851825831601,-0.960789023729825,-0.965465604171663,-0.853086834114152,-0.966351803267617,-0.82768711578121
Calopteryx.maculata,-0.594178330174049,-0.634157557247795,-0.524075179580268,-0.685351322583148,-0.699100373857658,-0.637667900634723,0.468814871370758,0,0,0.912061294868744,0,0.710808951344623,0,0,0.926731618636563,0.674911347675116,1,0,-0.646270761487089,0.35796914716243,0,0.611605540093881,0.570954795896632,0,0.590435921635337,0,0.606083054370905,0,-0.500737824840166,0,0,-0.610322036402921,0,0.859542889586022,-0.422070630708033,0,0,0.528909126499661,0,0.415880243570034,0.403669896860266,0,0.379681107672069,0,0.650217902690216,0.569864676611668,0.658246184590679,0.659712513923753,0.658144223973065,0.645723492200871,0.624797075246035,0.630586192837491,0,0,0.303984363420318,0,-0.712735109710574,-0.62484793814484,0,0,-0.686159612782526,0,-0.640433485432059,0,-0.58037628826628,0,0,0.387394047558909,0,0.335248032199901,0,0,0,0.245899825371134,0.646950690154382,0,0.572117926336098,0.541002856132394,0.515323508074115,-0.508349201343285,-0.650173506014067,0,0.290240193772838,0,0,0,0.639524349607524,0,0,-0.597075121793243,-0.635006385389991,-0.64181875218907,-0.673145265389443,-0.666827222536958,-0.482025469889096
Celithemis.elisa,0.548623913254861,0,0.737783077987242,0,0,0,0,0.916821897610466,0,0,0.717920819302477,0,-0.845096223681384,-0.897823235977702,0,-0.56033407067818,0,1,0,0.672376493071744,0.726267874671642,0,-0.720008892836584,0.743296849705917,0,0.765794467211003,0,0.789776244694533,0.708832975401263,0.640620131773583,0,0,0.857357275728817,0,0.82316641595122,0.800171684627607,0.812919709900382,0,0,0,0.588971148605548,0.841965320137697,0.588262782937431,0.923742879328474,-0.548588989348883,0,-0.524126414994979,0,0,0,0,-0.596373456027868,0.930644711720826,0.931967767791135,0.708289178384627,-0.907637747968365,0,0.528913268255774,0,0.902276847895595,0,0.907648120956055,0.54487553630007,0,0,0.878982666993279,0.863050607777483,0.618359826805712,0.853383117994035,0.683578063229579,0.895145728944056,0.915651682677419,0.890979953666099,0.761400466363509,-0.610796015766964,0.864279931076467,-0.671528321784567,-0.727633708849464,-0.763883649351463,0.791340757058021,0,0,0.790842983220611,0,0,0.819655509161721,-0.60841152343244,-0.864938633018227,-0.874882643445396,0,0,0,0,0,0.756625853631238
Celithemis.eponina,0.814798139183976,0,0.736908191657521,0.778615574735421,0.770869532438719,0,0,0,0,0,0,-0.809653339080613,0,0,-0.774543108320809,-0.832337884305302,-0.646270761487089,0,1,0,0,0,-0.77284164229967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.825269142913986,0,-0.829371945592516,0,0,0,-0.774104445912156,-0.815092506900012,0,0,0,0,0.818229116233147,0.822867339037144,0,0,0.824079536580265,0,0.824250117826013,0,0.794444723886577,0,0,0,0,0,0,0,0,0,-0.791662927498703,0,-0.764914754346917,-0.739320955911269,-0.729145261976797,0.720495442604618,0,0,0,0,0,0,-0.788503505831814,0,0,0,0.822854903923987,0.81958899764107,0.778676927486051,0.834579338747971,0
Chromagrion.conditum,0,-0.78316759762874,0,-0.546047719561461,-0.55695013541533,-0.799457798098607,0.878919088683137,0.741967940849961,0,0,0.964592004880367,0.465286146443548,-0.91529744403218,-0.756134574296922,0.258578622761335,0,0.35796914716243,0.672376493071744,0,1,0.969967929243085,0.785747914495373,0,0.967914146660784,0.837764893149272,0.968566715530567,0,0.832161818154399,0,0.95123047647075,0,0,0.922841151530971,0,0,0.767858318434138,0,0.807065262772643,0,0.958407033152659,0.964785191838147,0.909513025496199,0.95601537765218,0.763938264090175,0,0.879397987467648,0,0.745605580454765,0.65131414544503,0.764542942796027,0,0,0.683126212623048,0.760808913363106,0.983925082974579,-0.572677133750502,-0.431894344993804,0,0,0.777176799313211,0,0.807297038963184,0,0,0,0.896752487972906,0.854467463941248,0.97574528226746,0.928437435243044,0.978671687082264,0.503896651366063,0.843452563027842,0.887425424655338,0.975212624656561,0,0.920559837117315,0,0,0,0,-0.663565232612546,0,0.946128776795075,0,0,0.709587941635948,0,-0.775562133199332,-0.674137947529186,0,0,0,-0.54405613658845,0,0
